title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
Build a Bitch,Bella Poarch,spotify:track:7BoobGhD4x5K96Me0hqC8Q,0.855,0.463,3.0,-7.454,1.0,0.0367,0.217,1.77e-05,0.347,0.866,102.931,7BoobGhD4x5K96Me0hqC8Q,122773.0,4.0
Staloney,Dirty Heads,spotify:track:16OlBq5unW64G9r8QvOESj,0.839,0.526,4.0,-11.835,0.0,0.272,0.0167,3.64e-06,0.104,0.599,119.937,16OlBq5unW64G9r8QvOESj,164702.0,4.0
High Tea (feat. Jordan Miller),"Dirty Heads, Jordan Miller",spotify:track:1TDzEO4N6kxf4Yocja7djK,0.707,0.755,8.0,-6.649,0.0,0.0784,0.141,0.0,0.214,0.695,122.072,1TDzEO4N6kxf4Yocja7djK,208030.0,4.0
Mad At It,Dirty Heads,spotify:track:5Ps1vdCmzfLHmwDmnvINpS,0.726,0.649,6.0,-5.091,1.0,0.0537,0.0192,0.000872,0.109,0.456,165.907,5Ps1vdCmzfLHmwDmnvINpS,196599.0,4.0
Vacation,Dirty Heads,spotify:track:7lgvGRC1gN0JGgY9VGXsQT,0.736,0.751,8.0,-5.588,1.0,0.034,0.0381,0.0,0.105,0.839,150.064,7lgvGRC1gN0JGgY9VGXsQT,209722.0,4.0
Celebrate (feat. The Unlikely Candidates) [Alt Edit],"Dirty Heads, The Unlikely Candidates",spotify:track:5qNEPKqPOECw50RpOGT9ne,0.679,0.601,1.0,-7.306,1.0,0.0643,0.225,0.0,0.199,0.323,134.977,5qNEPKqPOECw50RpOGT9ne,196637.0,4.0
Diamonds & Pearls,Dirty Heads,spotify:track:506QmzLqTwW2OKcJZNJBAx,0.854,0.62,2.0,-4.603,1.0,0.0636,0.00161,0.0,0.201,0.0641,130.008,506QmzLqTwW2OKcJZNJBAx,199995.0,4.0
Get Somewhere,Dirty Heads,spotify:track:0eMJUtlzO9DmpM4wW8A4jJ,0.716,0.472,1.0,-7.507,1.0,0.172,0.0724,0.0,0.281,0.516,148.98,0eMJUtlzO9DmpM4wW8A4jJ,216554.0,4.0
So Glad You Made It (feat. Nick Hexum),"Dirty Heads, Nick Hexum",spotify:track:6u3zsR2qRjCZlc5W0yUYPL,0.636,0.691,8.0,-7.49,1.0,0.0364,0.0476,0.0,0.291,0.261,84.02,6u3zsR2qRjCZlc5W0yUYPL,178654.0,4.0
God Damn Liar,Dirty Heads,spotify:track:4B6xVM2fWTilKZM91jQ3aE,0.724,0.821,1.0,-5.23,0.0,0.0451,0.00896,0.0,0.212,0.672,146.07,4B6xVM2fWTilKZM91jQ3aE,181167.0,4.0
Lonely For Me,Dirty Heads,spotify:track:7hKuhplVUbdVELfWB6XRjP,0.585,0.493,8.0,-7.015,0.0,0.0896,0.0119,0.0,0.335,0.444,156.214,7hKuhplVUbdVELfWB6XRjP,172081.0,4.0
West Coast,Dirty Heads,spotify:track:3tuZxVXevGbh0t3U3cyOaN,0.685,0.638,8.0,-6.647,1.0,0.241,0.0791,0.0,0.0932,0.626,160.005,3tuZxVXevGbh0t3U3cyOaN,182279.0,4.0
Levitating,Nina Chuba,spotify:track:5bRXm3KUMMZWwlTIXK08Pl,0.72,0.463,6.0,-9.711,0.0,0.258,0.291,4.55e-06,0.109,0.391,111.9,5bRXm3KUMMZWwlTIXK08Pl,172171.0,4.0
Yellow Black Blue,Nina Chuba,spotify:track:4RZX2wmBP12a10fTSbqjsf,0.516,0.491,7.0,-7.208,0.0,0.312,0.735,5.96e-05,0.0713,0.436,66.713,4RZX2wmBP12a10fTSbqjsf,182600.0,3.0
OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli XCX, Saweetie",spotify:track:6Dy1jexKYriXAVG6evyUTJ,0.787,0.833,8.0,-4.403,1.0,0.0478,0.018,0.00747,0.0374,0.796,123.97,6Dy1jexKYriXAVG6evyUTJ,162604.0,4.0
Dirty Dancing,"Glockenbach, ÁSDÍS",spotify:track:464F2a58LTaitVUFKvEm1J,0.72,0.83,11.0,-5.065,0.0,0.0954,0.0957,0.0,0.122,0.342,124.042,464F2a58LTaitVUFKvEm1J,160843.0,4.0
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams",spotify:track:5lfWrciYtohtIMVDVZd0Rf,0.81,0.733,9.0,-6.338,1.0,0.0444,0.276,6.73e-06,0.288,0.9,125.975,5lfWrciYtohtIMVDVZd0Rf,229283.0,4.0
Yo Yo,MIKA,spotify:track:1iLizzooWyhDEF3OgiVEoS,0.717,0.712,5.0,-6.156,1.0,0.0573,0.143,0.00126,0.0641,0.457,116.025,1iLizzooWyhDEF3OgiVEoS,212640.0,4.0
EveryTime I Cry,Ava Max,spotify:track:0mV43B6pJWRjcM5TmzNe6d,0.727,0.832,9.0,-4.327,0.0,0.0366,0.181,0.0,0.0615,0.213,127.035,0mV43B6pJWRjcM5TmzNe6d,177856.0,4.0
