index,title,singers,genre,from
1,Unholy,"Sam Smith,Kim Petras",Pop,international
2,Face It Alone,Queen,Rock,international
3,I'm Good (Blue),"David Guetta,Bebe Rexha",Dance,international
4,Thank God,"Kane Brown,Katelyn Brown",Country,international
5,wait in the truck,"HARDY,Lainey Wilson",Country,international
6,Son Of A Sinner,Jelly Roll,Rock,international
7,A Thousand Years,Christina Perri,Soundtrack,international
8,Everywhere,Fleetwood Mac,Rock,international
9,You Proof,Morgan Wallen,Country,international
10,Left and Right,"Charlie Puth,Jung Kook",Pop,international
11,Unstoppable,Sia,Pop,international
12,I Ain't Worried,OneRepublic,Pop,international
13,Wasted On You,Morgan Wallen,Country,international
14,CUFF IT,Beyoncé,Pop,international
15,Fall In Love,Bailey Zimmerman,Country,international
16,Shivers,Ed Sheeran,Pop,international
17,She Had Me At Heads Carolina,Cole Swindell,Country,international
18,The Kind of Love We Make,Luke Combs,Country,international
19,Under the Influence,Chris Brown,"R&B,Soul",international
20,Lose Yourself,Eminem,Soundtrack,international
21,Shallow,"Lady Gaga,Bradley Cooper",Soundtrack,international
22,Life Is a Highway,Rascal Flatts,Soundtrack,international
23,As It Was,Harry Styles,Pop,international
24,Super Freaky Girl,Nicki Minaj,"Hip-Hop,Rap",international
25,Sunroof,"Nicky Youre,Dazy",Pop,international
26,About Damn Time,Lizzo,Pop,international
27,Victoria’s Secret,Jax,Pop,international
28,Something in the Orange (Z&E's Version),Zach Bryan,Country,international
29,Celestial,Ed Sheeran,Pop,international
30,Love Me Like You Do,Ellie Goulding,Soundtrack,international
31,What My World Spins Around,Jordan Davis,Country,international
32,I Like You (A Happier Song) [feat. Doja Cat],Post Malone,"Hip-Hop,Rap",international
33,Hold Me Closer,"Elton John,Britney Spears",Pop,international
34,Soul,Lee Brice,Country,international
35,I'm So Blessed (Best Day Remix),CAIN,Christian & Gospel,international
36,Next Thing You Know,Jordan Davis,Country,international
37,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Pop,international
38,Rock and a Hard Place,Bailey Zimmerman,Country,international
39,Numb,"Marshmello,Khalid","R&B,Soul",international
40,2 Be Loved (Am I Ready),Lizzo,Pop,international
41,Make It With You,Bread,Soft Rock,international
42,Earned It,The Weeknd,Soundtrack,international
43,You'll Be In My Heart,Phil Collins,Soundtrack,international
44,KICK BACK,Kenshi Yonezu,J-Pop,international
45,It Will Rain,Bruno Mars,Soundtrack,international
46,How Do I Say Goodbye,Dean Lewis,"Singer,Songwriter",international
47,Something in the Orange,Zach Bryan,Country,international
48,the mockingbird & THE CROW,HARDY,Rock,international
49,Bad Habit,Steve Lacy,"R&B,Soul",international
50,Always Remember Us This Way,Lady Gaga,Soundtrack,international
51,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,Pop,international
52,Fingers Crossed,Lauren Spencer Smith,Pop,international
53,Tennessee Orange,Megan Moroney,Country,international
54,Never Leave,Bailey Zimmerman,Country,international
55,This Is Halloween,The Citizens of Halloween,Soundtrack,international
56,TRUCK BED,HARDY,Rock,international
57,Bones,Imagine Dragons,Alternative,international
58,Poland,Lil Yachty,"Hip-Hop,Rap",international
59,Running Up That Hill (A Deal with God),Kate Bush,Pop,international
60,Forget Me,Lewis Capaldi,Alternative,international
61,Way of the Triune God (Hallelujah Version),Tyler Childers,Country,international
62,Don’t Come Lookin’,Jackson Dean,Country,international
63,Forever,"Drake, Kanye West, Lil Wayne,Eminem",Soundtrack,international
64,Late Night Talking,Harry Styles,Pop,international
65,Tennessee Whiskey,Chris Stapleton,Country,international
66,Build a Boat,Colton Dixon,Christian & Gospel,international
67,Somewhere Over the Rainbow,Israel Kamakawiwo'ole,World,international
68,Gangsta's Paradise (feat. L.V.),Coolio,"Hip-Hop,Rap",international
69,Half Of Me (feat. Riley Green),Thomas Rhett,Country,international
70,Joy of My Life,Chris Stapleton,Country,international
71,Eagle (feat. KB),Transformation Worship,"Hip-Hop,Rap",international
73,No Body,Blake Shelton,Country,international
74,Monster Mash,"Bobby ""Boris"" Pickett,The Crypt-Kickers",Halloween,international
75,here lies country music,HARDY,Country,international
77,5 Foot 9,Tyler Hubbard,Country,international
78,Cold Heart (PNAU Remix),"Elton John,Dua Lipa",Pop,international
79,She Likes It (feat. Jake Scott),"Russell Dickerson,Jake Scott",Country,international
80,All the Small Things,blink-182,Rock,international
81,No Se Va (En Vivo),Grupo Frontera,Regional Mexicano,international
82,'Til You Can't,Cody Johnson,Country,international
83,Tití Me Preguntó,Bad Bunny,Latin,international
84,BILLIE EILISH.,Armani White,"Hip-Hop,Rap",international
85,Tomorrow 2,"GloRilla,Cardi B","Hip-Hop,Rap",international
86,Bust Your Windows,Jazmine Sullivan,"R&B,Soul",international
87,Neon You,Don Louis,Country,international
88,World's Smallest Violin,AJR,Alternative,international
89,Wishful Drinking,"Ingrid Andress,Sam Hunt",Country,international
90,Country On,Luke Bryan,Country,international
91,"Boulevard of Broken Dreams (feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands & Company)",Green Day,Soundtrack,international
92,Perfectly Loved (feat. TobyMac),Rachael Lampa,Christian & Gospel,international
93,golden hour,JVKE,Pop,international
94,How Far I'll Go,Auli'i Cravalho,Soundtrack,international
95,Boom Clap,Charli XCX,Soundtrack,international
96,You Should Probably Leave,Chris Stapleton,Country,international
97,Betty (Get Money),Yung Gravy,"Hip-Hop,Rap",international
98,Calm Down,"Rema,Selena Gomez",Pop,international
99,One Way or Another (Hocus Pocus 2 Version),"Bette Midler, Sarah Jessica Parker,Kathy Najimy",Soundtrack,international
100,down home,Jimmie Allen,Country,international
9,EDGING,blink-182,Rock,Australia
11,Sway My Way,"R3HAB,Amy Shark",Dance,Australia
14,Shake a Leg Like Elvis,Dino Jag,Pop,Australia
16,B.O.T.A. (Baddest Of Them All) [Edit],"Eliza Rose,Interplanetary Criminal",Dance,Australia
17,Only Wanna Be With You,Amy Shark,Pop,Australia
18,SNAP,Rosa Linn,Indie Pop,Australia
21,Afraid To Feel,LF SYSTEM,Dance,Australia
23,Hurtless,Dean Lewis,"Singer,Songwriter",Australia
24,Ferrari,"James Hype,Miggy Dela Rosa",Dance,Australia
27,Clarity,Vance Joy,Pop,Australia
28,I Feel Love,Donna Summer,Disco,Australia
29,Chill Like That,"Sunday Scaries,PiCKUPLiNES",Dance,Australia
30,Irrelevant,P!nk,Pop,Australia
35,Always First,Courtney Keil,Country,Australia
37,Celtic Symphony,The Wolfe Tones,Traditional Folk,Australia
38,CHANT,"Macklemore,Tones And I","Hip Hop,Rap",Australia
39,Out of My System,Louis Tomlinson,Pop,Australia
40,Jump Around,House of Pain,"Hip Hop,Rap",Australia
42,Blinding Lights,The Weeknd,"R&B,Soul",Australia
43,Running Up That Hill (A Deal With God),Kate Bush,College Rock,Australia
44,True Colors,Cyndi Lauper,Pop,Australia
45,BREAK MY SOUL,Beyoncé,Pop,Australia
46,I'm Good (Blue) [Extended],"David Guetta,Bebe Rexha",Dance,Australia
47,CASE 143,Stray Kids,K-Pop,Australia
48,Somewhere Over the Rainbow / What a Wonderful World,Israel Kamakawiwo'ole,World,Australia
50,When It Rains It Pours,Luke Combs,Country,Australia
51,Help Is On Its Way,Little River Band,Rock,Australia
52,Green Green Grass,George Ezra,"Singer,Songwriter",Australia
53,Our Song,"Anne-Marie,Niall Horan",Pop,Australia
56,Good Riddance,"Levi Hummon, Filmore,YA'BOYZ",Country,Australia
57,You're the Voice,John Farnham,Pop,Australia
58,Don't Stop Me Now,Queen,Rock,Australia
59,Danger Zone,Kenny Loggins,Soundtrack,Australia
60,Otherside,Red Hot Chili Peppers,Alternative,Australia
64,Dreams,The Cranberries,Pop,Australia
65,The Gambler,Kenny Rogers,Country,Australia
66,We Run This,Missy Elliott,"Hip Hop,Rap",Australia
67,Losing You,Solange,Pop,Australia
68,Forever After All,Luke Combs,Country,Australia
69,Khe Sanh,Cold Chisel,Rock,Australia
70,Over For You (Live in Melbourne),Morgan Evans,Country,Australia
71,I See Red,Everybody Loves an Outlaw,Rock,Australia
72,Chasin' You,Morgan Wallen,Country,Australia
73,"1,2,3 Eoi!",MAMAMOO,K-Pop,Australia
75,ILLELLA,MAMAMOO,K-Pop,Australia
76,Bitter Sweet Symphony,The Verve,Pop,Australia
77,Have You Ever Seen the Rain,Creedence Clearwater Revival,Rock,Australia
78,Heat Waves,Glass Animals,Alternative,Australia
79,STAY,"The Kid LAROI,Justin Bieber",Pop,Australia
80,Fortunate Son,Creedence Clearwater Revival,Rock,Australia
81,Money For Nothing (Remastered 1996),Dire Straits,Pop,Australia
82,Where Are You Now,"Lost Frequencies,Calum Scott",Dance,Australia
83,I Want It That Way,Backstreet Boys,Pop,Australia
84,Hold My Hand,Lady Gaga,Pop,Australia
85,Better Together,Luke Combs,Country,Australia
86,Remember,"Becky Hill,David Guetta",Dance,Australia
87,Your Daughter,Chase McDaniel,Country,Australia
88,Bad Memories (feat. Elley Duhé & FAST BOY),"Meduza,James Carter",Dance,Australia
89,More Than My Hometown,Morgan Wallen,Country,Australia
90,If I Would Have Known,Kyle Hume,Pop,Australia
93,Red Wine or Whiskey,Alli Walker,Country,Australia
94,All of Me,John Legend,"R&B,Soul",Australia
95,Great Southern Land,ICEHOUSE,Rock,Australia
96,Working Class Man,Jimmy Barnes,Rock,Australia
97,Piano Man,Billy Joel,Rock,Australia
99,Don't Stop Believin',Journey,Rock,Australia
100,You Are the Reason,Calum Scott,Pop,Australia
2,DON'T YOU WORRY,"Black Eyed Peas, Shakira,David Guetta",Pop,Austria
3,Kiss Me,Dermot Kennedy,Pop,Austria
7,Dirty Dancing (feat. Asdis),Glockenbach,Dance,Austria
8,Kompliment,Melissa Naschenweng,German Pop,Austria
9,Belly Dancer,"Imanbek,BYOR",Dance,Austria
13,Wildberry Lillet,Nina Chuba,"Hip Hop,Rap",Austria
17,THE LONELIEST,Måneskin,Rock,Austria
19,Maybe You’re The Problem,Ava Max,Pop,Austria
21,Million Dollar Baby,Ava Max,Pop,Austria
22,You're Fucked (Remix),Ylvis,Pop,Austria
24,Sex On Fire,Kings of Leon,Alternative,Austria
25,Großvater,S.T.S.,"Singer,Songwriter",Austria
26,kaleidoskop,"Pizzera,Jaus",Pop,Austria
30,Sun Will Shine,"Robin Schulz,Tom Walker",Dance,Austria
31,Crazy Love,"Toby Romeo,Leony",Dance,Austria
32,Do It Better (feat. Zoe Wees),Felix Jaehn,Dance,Austria
34,Samba,"YouNotUs,Louis III",Dance,Austria
36,Love It,Laurell,Pop,Austria
37,Verliabt,Melissa Naschenweng,German Pop,Austria
38,Best Bad Friend,"Michael Patrick Kelly,Rea Garvey",Pop,Austria
39,Crazy What Love Can Do,"David Guetta, Becky Hill,Ella Henderson",Dance,Austria
41,Hard For Me,Michele Morrone,Pop,Austria
42,Holz,257ers,"Hip Hop,Rap",Austria
43,In Der Natur,Deichkind,Dance,Austria
44,Call It Love,"Felix Jaehn,Ray Dalton",Dance,Austria
46,Codo (...düse im Sauseschritt),Döf,German Pop,Austria
47,Showed Me (How I Fell In Love With You),Madison Beer,Pop,Austria
48,Lara’s Theme (Schiwago Melodie),James Last,Pop,Austria
49,Amoi seg' ma uns wieder,Andreas Gabalier,German Folk,Austria
51,Ala bin,Seiler und Speer,Pop,Austria
52,Cordula Grün,Josh.,Pop,Austria
53,A Sky Full of Stars,Coldplay,Alternative,Austria
54,Another Love,Tom Odell,"Singer,Songwriter",Austria
55,Paradise,Coldplay,Alternative,Austria
56,Another Love (Zwette Edit),Tom Odell,"Singer,Songwriter",Austria
57,bad guy,Billie Eilish,Alternative,Austria
58,Weus'd a Herz hast wia a Bergwerk,Rainhard Fendrich,"Singer,Songwriter",Austria
59,Hurt,Johnny Cash,Country,Austria
60,We Will Rock You,Queen,Rock,Austria
61,Expresso & Tschianti,Josh.,Pop,Austria
62,Bohemian Rhapsody,Queen,Rock,Austria
63,Zefix,Chris Steger,Pop,Austria
64,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),"Nathan Evans, 220 KID,Billen Ted",Dance,Austria
65,Faded,Alan Walker,Dance,Austria
66,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],"Riton,Nightcrawlers",Dance,Austria
67,When You're Gone,Shawn Mendes,Pop,Austria
69,Von dir ein Tattoo,Josh.,Pop,Austria
70,Sweet Caroline,Neil Diamond,Pop,Austria
71,Solo Para Ti,"Alvaro Soler,Topic",Pop in Spanish,Austria
72,A Kind of Magic,Queen,Rock,Austria
73,SUPERMODEL,Måneskin,Pop,Austria
74,Don't Be Cruel,Elvis Presley,Rock,Austria
75,die sunn und di,"Pizzera,Jaus",Pop,Austria
76,Dicke Titten,Rammstein,Rock,Austria
77,Looking For Love,Lena,Pop,Austria
78,California Love (feat. Roger Troutman & Dr. Dre),2Pac,"Hip Hop,Rap",Austria
79,Canzone,Lucio Dalla,Pop,Austria
81,Schmetterling,SOPHIA,Pop,Austria
82,Mein Kind,Herzchen,Europe,Austria
83,Another Love (TikTok Trend Edit),House Of Paper,Dance,Austria
85,Da geht noch mehr,Nockis,German Pop,Austria
86,3WW,alt-J,Alternative,Austria
87,Superhero,"Unknown Brain,Chris Linton",Dance,Austria
88,Fühlst du das auch,Apache 207,"Hip Hop,Rap",Austria
89,3 Tage am Meer,AnnenMayKantereit,Pop,Austria
91,Easy Lover (Solo Version),Ellie Goulding,Pop,Austria
92,Under The Influence,Chris Brown,Pop,Austria
94,Someone Else,ClockClock,Pop,Austria
95,Party Sahne,"Ski Aggu, Endzone,Ericson","Hip Hop,Rap",Austria
96,Sempre sempre solo noi,Patrizio Buanne,World,Austria
97,Holiday (Radio Edit),Dizzee Rascal,"Hip Hop,Rap",Austria
98,Feel It,Michele Morrone,Pop,Austria
99,Oceans (Where Feet May Fail) [Live from Madison Square Garden],"Hillsong UNITED,TAYA",Christian & Gospel,Austria
100,Kiss Me (Guitar),Dermot Kennedy,Pop,Austria
2,Follow Me (DJ Jordan Extended Remix),"Derb, Mark Sherry,Space Frog",Dance,Belgium
3,Noodgeval,Goldband,Pop,Belgium
7,Warrior,Oscar and the Wolf,Pop,Belgium
9,abcdefu,GAYLE,Pop,Belgium
12,Show Your Love,"Nils van Zandt, AMARI,Mr. Jim",Dance,Belgium
13,Visje In Het Water,K3,Pop,Belgium
16,In De Regen,Camille,Pop,Belgium
17,Uit Mijn Hoofd,Pauline,Pop,Belgium
19,Better Off Alone,Berre,Pop,Belgium
20,Call on me (feat. Ed Sheeran),Vianney,French Pop,Belgium
21,Dance with Me,Kevin de Vries,Electronic,Belgium
22,WE HERE,Laura Tesoro,Pop,Belgium
24,Liquid Is Liquid (Extended Mix),"Alberto Remondini,Sergio Marini",Dance,Belgium
25,Geen Tranen Meer Over,Camille,Pop,Belgium
26,DESPECHÁ,ROSALÍA,Pop in Spanish,Belgium
28,Follow Me (DJ Jordan Remix),"Derb, Mark Sherry,Space Frog",Dance,Belgium
30,B.O.T.A. (Baddest Of Them All),"Eliza Rose,Interplanetary Criminal",Dance,Belgium
31,Kwijt,"Suzan,Freek",Pop,Belgium
32,Vleugels,K3,Pop,Belgium
34,Water (feat. Clara La San),Bicep,Electronic,Belgium
35,Call Me Crazy,"Sagi Abitbul,BEN SHOPEN",Dance,Belgium
36,Dit Is Wat Mijn Mama Zei,Metejoor,Pop,Belgium
37,Love Again,Dua Lipa,Pop,Belgium
40,Visstick Gooi Die Kanker Kick,Natte Visstick,Dance,Belgium
41,Eva,Kendji Girac,French Pop,Belgium
42,In The Stars,Benson Boone,Pop,Belgium
47,Where Did You Go?,"Jax Jones,MNEK",Dance,Belgium
49,Dovy Keukens Hardcore Remix,POMBAK,Hardcore,Belgium
51,Over You,"Sharam Jey, Celestal,Moss Kena",Electronic,Belgium
52,Doja,Central Cee,"Hip Hop,Rap",Belgium
53,Coup de vieux (feat. Julien Doré),"Bigflo,Oli","Hip Hop,Rap",Belgium
54,Adrenaline,"Kris Kross Amsterdam, Ronnie Flex,Zoë Tauran",Pop,Belgium
55,Sharks,Imagine Dragons,Alternative,Belgium
56,World Hold On (feat. Steve Edwards) [FISHER Rework],Bob Sinclar,House,Belgium
57,Encore une fois,Patrick Bruel,French Pop,Belgium
58,Took the Words (House Mix),"Block,Crown,Lissat",House,Belgium
59,The Damn Thing Go Wild,"Block,Crown,Lissat",House,Belgium
60,Roll the Stones,"Block,Crown,Lissat",House,Belgium
64,My Silver Lining,First Aid Kit,Alternative,Belgium
65,Whole Lotta Love,Led Zeppelin,Rock,Belgium
66,Freed from Desire,Gala,Dance,Belgium
67,Pepas,Farruko,Latin Urban,Belgium
68,We Found Love (feat. Calvin Harris),Rihanna,Pop,Belgium
69,Boys Don't Cry,The Cure,Alternative,Belgium
70,The Age of Love (Charlotte de Witte & Enrico Sangiuliano Remix),"Age of Love, Enrico Sangiuliano,Charlotte de Witte",Techno,Belgium
71,Duizend Sterren,"Regi,Pauline",Dance,Belgium
72,Everybody (Backstreet's Back) [Radio Edit],Backstreet Boys,Pop,Belgium
73,Big Log,Robert Plant,Rock,Belgium
74,Kijk Ons Nou,"Metejoor,Snelle",Pop,Belgium
76,Wat Een Idee!?,Pommelien Thijs,Pop,Belgium
78,Deep Down (feat. Never Dull),"Alok, Ella Eyre,Kenny Dope",Dance,Belgium
80,Starry Night,Peggy Gou,House,Belgium
81,Alles,S.van Samang,Pop,Belgium
82,Mag Ik Dan Bij Jou (Single Version),Claudia de Breij,Pop,Belgium
83,All By Myself,"Alok, Sigala,Ellie Goulding",Dance,Belgium
87,Big City Life,"Luude,Mattafix",Dance,Belgium
88,Blind Op Zoek (Trapagas),Jinho 9,"Hip Hop,Rap",Belgium
90,Samson & Ket,Natte Visstick,Dance,Belgium
91,Yeah The Girls (feat. MERYLL),FISHER,Dance,Belgium
92,Miss California,"THIERRY VON DER WARTH,Dante Thomas",Dance,Belgium
94,Ik Wil Je,"Joost,De Kreuners",Adult Contemporary,Belgium
95,Everytime We Touch (Hardwell & Maurice West Remix),Cascada,Dance,Belgium
96,Take Me Back,Arno,French Pop,Belgium
97,Cœur,Clara Luciani,Rock,Belgium
98,À tout jamais,Mylène Farmer,French Pop,Belgium
99,Tout contrôler,Mewhy,Pop,Belgium
100,I Feel Like Shit And I Wanna Die,The Haunted Youth,Alternative,Belgium
1,Uma Vez Piranha 2.0 (Popline Pride) [feat. Kayque],Pepita,Baile Funk,Brasil
4,TE AMO (em caixa alta) [feat. Anitta],Kiaz,"Hip Hop,Rap",Brasil
6,Superfantástico (Super Fantástico),"A Turma do Balão Mágico,Djavan",Brazilian,Brasil
7,Aquarela,Toquinho,Children's Music,Brasil
9,Pipoco,"Ana Castela, Melody,Dj Chris No Beat",Baile Funk,Brasil
11,Evidências,Roberto Carlos,MPB,Brasil
12,Viva la Vida,Coldplay,Alternative,Brasil
13,Sweet Child O' Mine,Guns N' Roses,Hard Rock,Brasil
15,Capitão do Povo,Capitao do Povo,Sertanejo,Brasil
16,I Ain’t Worried (Acoustic),OneRepublic,Pop,Brasil
17,Dia das Crianças,Yasmin Verissimo,Children's Music,Brasil
18,Tu Não Sabes,Zeca Baleiro,World,Brasil
19,VAI,Marc Yann,Pop,Brasil
20,Promete,Ana Vilela,Brazilian,Brasil
21,Tempo Perdido,Legião Urbana,Rock,Brasil
22,Trem Bala (feat. Luan Santana) [Acústico],Ana Vilela,MPB,Brasil
23,Cornfield Chase,Hans Zimmer,Soundtrack,Brasil
24,Uni-Duni-Tê,Trem Da Alegria,Brazilian,Brasil
26,Feliz Aniversário (feat. Dias de Truta),"Anima Mea,Dias de Truta",Reggae,Brasil
28,Haja Colírio (Ao Vivo) [feat. Hugo & Guilherme],"Guilherme,Benuto",Sertanejo,Brasil
29,Never Tear Us Apart,Sleeping At Last,"Singer,Songwriter",Brasil
31,Filter,BTS,K-Pop,Brasil
32,"Hino Agro (feat. Luan Pereira, Jacques Vanier & AgroPlay)","Ana Castela, Léo,Raphael,Dj Chris No Beat",Sertanejo,Brasil
33,Trevo (Tu) [feat. Tiago Iorc],Anavitória,Pop,Brasil
34,Alive (It Feels Like),Alok,Dance,Brasil
36,Rehab,Amy Winehouse,"R&B,Soul",Brasil
37,Beggin',Måneskin,Pop,Brasil
39,Sou + Você,Racionais MC's,"Hip Hop,Rap",Brasil
40,Um Anjo do Céu,Maskavo,Brazilian,Brasil
42,Parabéns da Xuxa,Xuxa,Brazilian,Brasil
44,Porque Eu Te Amo,Anavitória,Pop,Brasil
45,Anunciação - Sessions,Mariana Nolasco,Pop,Brasil
46,Nossa Senhora,Roberto Carlos,Brazilian,Brasil
47,Tempo,Priscila Brenner,Pop,Brasil
48,Janelinha (Ao Vivo),"Zé Neto,Cristiano",Sertanejo,Brasil
49,My Universe,Coldplay X BTS,Pop,Brasil
50,La vie en rose,ZAZ,Pop,Brasil
51,A Vida É Boa Com Você (Voz E Violão),Bryan Behr,Pop,Brasil
52,If I Ain't Got You (Live),Alicia Keys,"R&B,Soul",Brasil
53,Assim Os Dias Passarão,"Almir Sater,Renato Teixeira",Sertanejo,Brasil
54,Say My Name,ATEEZ,K-Pop,Brasil
55,Paradise City,Guns N' Roses,Hard Rock,Brasil
56,Ai Preto,"L7nnon, DJ Biel do Furduncinho,Bianca",Brazilian,Brasil
57,Aos Olhos do Pai,Crianças Diante do Trono,Christian & Gospel,Brasil
58,Please Don't Go,KC and The Sunshine Band,Dance,Brasil
60,Baile De Favela (Remix),"Piero da Vinci,Fr4nk Cr4nk",Electronic,Brasil
61,In the End (feat. Fleurie) [Mellen Gi Remix],"Tommee Profitt,Mellen Gi",Alternative,Brasil
62,Noites Traiçoeiras,Padre Marcelo Rossi,Brazilian,Brasil
63,9 Meses,Bárbara Dias,"Singer,Songwriter",Brasil
66,Tem Cabaré Essa Noite,"Nivaldo Marques,Nattan",Forró,Brasil
67,Bondade de Deus,Isaias Saad,Christian & Gospel,Brasil
70,Te Agradeço,Diante do Trono,Christian & Gospel,Brasil
71,Deserto (Ao Vivo),Maria Marçal,Christian & Gospel,Brasil
72,Barbie Girl,Aqua,Pop,Brasil
74,Deserto,Arianne,Gospel,Brasil
75,Assim É Ser Criança,Mundo Bita,Children's Music,Brasil
76,I'm Still Standing (Remastered),Elton John,Pop,Brasil
77,Quem Não Conhece Tá Sem Internet,"MC Marks, DJ BOY,DJ GM",Brazilian,Brasil
79,I Really Want to Stay At Your House,"Rosa Walton,Hallie Coggins",Soundtrack,Brasil
80,Set Tatuapé Conceito 2,"Mc Joaozinho VT, DJ BOY, DJ GM,MC Ryan SP",Baile Funk,Brasil
81,Comunicação Falhou (Ao Vivo),"Mari Fernandez,Nattan",Sertanejo,Brasil
82,Isso É Calypso (Ao Vivo),Joelma,Forró,Brasil
83,Saturday Night,Natalia Kills,Pop,Brasil
84,Don't Cha (Ralphi's Hot Freak Radio Mix),The Pussycat Dolls,Fitness & Workout,Brasil
85,Beat Automotivo Tan Tan Tan Viral,WZ Beat,Baile Funk,Brasil
86,Nada De Novo,Paulinho da Viola,Samba,Brasil
87,Algo De Mí,Franco Masini,Pop,Brasil
88,Eye For An Eye (feat. Rafael Jannotti),Evokings,Electronic,Brasil
89,Walk On,Boston,Rock,Brasil
90,Iced Tea,"Joyce Wrice,KAYTRANADA","R&B,Soul",Brasil
91,Lisboa Freestyle,Greg Ferreira,"Hip Hop,Rap",Brasil
92,Phoenix,Night Tales,Dance,Brasil
93,Invane,"Spag Heddy,Viperactive",Dubstep,Brasil
94,Adorarei (feat. Kellen Byanca),"Valesca Mayssa, Stella Laura,Nathália Braga",Christian & Gospel,Brasil
95,Homem Do Meu Tempo,Felipe Grilo,Sertanejo,Brasil
96,Cisco no Olho,"Thiago Aquino,Unha Pintada",Sertanejo,Brasil
97,Serenata (Ao Vivo),Henry Freitas,Forró,Brasil
98,100 Mili,"EBONY,LARINHX","Hip Hop,Rap",Brasil
99,Não Te Quero Mais (Ao Vivo),Eric Land,Brazilian,Brasil
100,Sincero (Ao Vivo),Eric Land,Brazilian,Brasil
6,Flowers Need Rain,"Preston Pablo,Banx,Ranx",Pop,Canada
7,Run Away to Mars,TALK,Rock,Canada
19,Can't Fight the Moonlight,LeAnn Rimes,Soundtrack,Canada
23,Don't You (Forget About Me),Simple Minds,Soundtrack,Canada
31,She Keeps Me Up,Nickelback,Rock,Canada
32,Blaze of Glory,Bon Jovi,Soundtrack,Canada
36,All The Small Things,blink-182,Rock,Canada
48,I Found You,Nate Smith,Country,Canada
55,Bam Bam (feat. Ed Sheeran),Camila Cabello,Pop,Canada
56,The Right Kind of Wrong,LeAnn Rimes,Soundtrack,Canada
57,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",Lady Gaga,Pop,Canada
61,Thunderstruck,AC/DC,Hard Rock,Canada
70,Whiskey On You,Nate Smith,Country,Canada
72,Glimpse of Us,Joji,Pop,Canada
73,Come Back Home,Sofia Carson,Soundtrack,Canada
74,Violet (feat. Killa),Connor Price,"Hip Hop,Rap",Canada
76,Valhalla Calling (feat. Peyton Parrish) [Duet Version],Miracle of Sound,Heavy Metal,Canada
77,Knock Off,Jess Moskaluke,Country,Canada
78,Enough,charlieonnafriday,Pop,Canada
87,I Surrender,Jeanick Fournier,Adult Contemporary,Canada
91,San Quentin,Nickelback,Rock,Canada
92,Escape (feat. Hayla),"Kx5, deadmau5,Kaskade",Dance,Canada
93,Where It Ends,Bailey Zimmerman,Country,Canada
95,You Got the Wrong Guy,Dean Brody,Country,Canada
96,Light My Fire (feat. Gwen Stefani & Shenseea),Sean Paul,Pop,Canada
98,Havana (feat. Young Thug),Camila Cabello,Pop,Canada
99,Man! I Feel Like a Woman!,Shania Twain,Country,Canada
100,I Will Survive,Gloria Gaynor,Pop,Canada
2,Kun Med Dig,Malte Ebert,Pop,Denmark
7,2 Die 4,Tove Lo,Pop,Denmark
8,Flyvende Faduma,Tobias Rahim,Pop,Denmark
11,Massive,Drake,Dance,Denmark
12,Kisimeerusaarlunga (2005),Tomba,Alternative Rap,Denmark
13,STOR MAND (feat. andreas odbjerg),Tobias Rahim,Pop,Denmark
14,hvad skal verden med sådan en som mig?,andreas odbjerg,Pop,Denmark
15,Kalde Dem for Du,Malte Ebert,Pop,Denmark
16,Stronger (What Doesn't Kill You),Kelly Clarkson,Pop,Denmark
17,Amager Forbrænding,Carl Emil Petersen,Rock,Denmark
18,Hold Me Closer (Joel Corry Remix),"Elton John,Britney Spears",Dance,Denmark
19,Aappaluttunik Siggulinnguaq,Olsen Kids,Pop,Denmark
20,Stay With Me,"Calvin Harris, Justin Timberlake, Halsey,Pharrell Williams",Dance,Denmark
22,Engangspik,Tessa,"Hip Hop,Rap",Denmark
24,BAGLÆNS,D1MA,"Hip Hop,Rap",Denmark
25,One Dance (feat. Wizkid & Kyla),Drake,"Hip Hop,Rap",Denmark
27,Mucki Bar,Tobias Rahim,Pop,Denmark
28,Juice,Blæst,Pop,Denmark
30,Kisivit (feat. Tûtu),Andachan,Dance,Denmark
34,Tro På Kærlighed,Gobs,"Hip Hop,Rap",Denmark
36,Disco Numberwang (feat. Amy Douglas),"Jean Aubergine,Dave Lee",House,Denmark
37,Ritmação da Putaria,Mc Kitinho,Brazilian,Denmark
38,Quiero Decirte (Bachata Remix),"Abraham Mateo, Ana Mena,DJ C",Pop in Spanish,Denmark
39,Call Me Maybe,Carly Rae Jepsen,Pop,Denmark
40,Feel This Moment (feat. Christina Aguilera),Pitbull,Pop,Denmark
41,Low (feat. T-Pain),Flo Rida,"Hip Hop,Rap",Denmark
42,Hot!,"Nik,Jay",Pop,Denmark
43,i morgen er der også en dag,andreas odbjerg,Pop,Denmark
44,One Kiss,"Calvin Harris, Dua Lipa",Dance,Denmark
45,rockstar (feat. 21 Savage),Post Malone,"Hip Hop,Rap",Denmark
